Timestamp,Emotion
2025-01-20 11:25:00,fear
2025-01-20 11:25:05,fear
2025-01-20 11:25:05,fear
2025-01-20 11:25:05,fear
2025-01-20 11:25:06,fear
2025-01-20 11:25:07,sad
2025-01-20 11:25:25,fear
2025-01-20 11:25:26,sad
2025-01-20 11:25:26,sad
2025-01-20 11:25:27,sad
2025-01-20 11:25:27,fear
2025-01-20 11:25:27,fear
2025-01-20 11:25:28,fear
2025-01-20 11:25:28,fear
2025-01-20 11:25:28,fear
2025-01-20 11:25:28,fear
2025-01-20 11:25:28,sad
2025-01-20 11:25:28,sad
2025-01-20 11:25:28,sad
2025-01-20 11:25:28,fear
2025-01-20 11:25:29,sad
2025-01-20 11:25:29,fear
2025-01-20 11:25:29,sad
2025-01-20 11:25:29,sad
2025-01-20 11:25:33,sad
2025-01-20 11:25:34,sad
2025-01-20 11:25:35,sad
2025-01-20 11:25:35,sad
2025-01-20 11:25:36,sad
2025-01-20 11:25:36,sad
2025-01-20 11:25:36,sad
2025-01-20 11:25:38,fear
2025-01-20 11:25:38,fear
2025-01-20 11:25:38,fear
2025-01-20 11:25:39,fear
2025-01-20 11:25:39,fear
2025-01-20 11:25:40,fear
2025-01-20 11:25:40,sad
2025-01-20 11:25:41,sad
2025-01-20 11:25:41,sad
2025-01-20 11:25:41,sad
2025-01-20 11:25:41,sad
2025-01-20 11:25:41,sad
2025-01-20 11:25:42,sad
2025-01-20 11:25:42,sad
2025-01-20 11:25:43,sad
2025-01-20 11:25:45,sad
2025-01-20 11:25:45,sad
2025-01-20 11:25:45,sad
2025-01-20 11:25:45,sad
2025-01-20 11:25:46,sad
2025-01-20 11:25:46,sad
2025-01-20 11:25:46,sad
2025-01-20 11:25:46,sad
2025-01-20 11:25:46,sad
2025-01-20 11:25:46,sad
2025-01-20 11:25:47,sad
2025-01-20 11:25:47,sad
2025-01-20 11:25:47,sad
2025-01-20 11:25:48,sad
2025-01-20 11:25:48,sad
2025-01-20 11:25:49,sad
2025-01-20 11:25:49,sad
2025-01-20 11:25:50,sad
2025-01-20 11:25:51,sad
2025-01-20 11:25:52,sad
2025-01-20 11:25:53,sad
2025-01-20 11:25:53,sad
2025-01-20 11:25:54,sad
2025-01-20 11:25:55,sad
2025-01-20 11:25:55,sad
2025-01-20 11:25:55,sad
2025-01-20 11:25:55,sad
2025-01-20 11:26:01,sad
2025-01-20 11:26:01,sad
2025-01-20 11:26:06,sad
2025-01-20 14:18:24,sad
2025-01-20 14:18:25,sad
2025-01-20 14:18:25,sad
2025-01-20 14:18:26,sad
2025-01-20 14:18:27,sad
2025-01-20 14:18:28,fear
2025-01-20 14:18:28,fear
2025-01-20 14:18:29,sad
2025-01-20 14:19:26,sad
2025-01-20 14:19:26,sad
2025-01-20 14:19:27,sad
2025-01-20 14:19:28,sad
2025-01-20 14:19:28,fear
2025-01-20 14:19:29,sad
2025-01-20 14:19:29,sad
2025-01-20 14:19:30,sad
2025-01-20 14:19:30,sad
2025-01-20 14:19:31,sad
2025-01-20 14:19:32,sad
2025-01-20 14:19:35,sad
2025-01-20 14:19:36,sad
2025-01-20 14:19:36,sad
